timestamp,openPrice,highPrice,lowPrice,closePrice
2026-01-19 09:45:00,"{'bid': 4667.75, 'ask': 4668.05}","{'bid': 4669.1, 'ask': 4669.4}","{'bid': 4661.53, 'ask': 4661.83}","{'bid': 4663.53, 'ask': 4663.83}"
2026-01-19 10:00:00,"{'bid': 4663.54, 'ask': 4663.84}","{'bid': 4671.48, 'ask': 4671.78}","{'bid': 4661.86, 'ask': 4662.16}","{'bid': 4670.67, 'ask': 4670.97}"
2026-01-19 10:15:00,"{'bid': 4670.73, 'ask': 4671.03}","{'bid': 4672.79, 'ask': 4673.09}","{'bid': 4666.09, 'ask': 4666.39}","{'bid': 4666.63, 'ask': 4666.93}"
2026-01-19 10:30:00,"{'bid': 4666.57, 'ask': 4666.87}","{'bid': 4670.49, 'ask': 4670.79}","{'bid': 4665.0, 'ask': 4665.3}","{'bid': 4669.46, 'ask': 4669.76}"
2026-01-19 10:45:00,"{'bid': 4669.5, 'ask': 4669.8}","{'bid': 4669.82, 'ask': 4670.12}","{'bid': 4667.13, 'ask': 4667.43}","{'bid': 4668.38, 'ask': 4668.68}"
2026-01-19 11:00:00,"{'bid': 4668.28, 'ask': 4668.58}","{'bid': 4670.16, 'ask': 4670.46}","{'bid': 4666.65, 'ask': 4666.95}","{'bid': 4670.16, 'ask': 4670.46}"
2026-01-19 11:15:00,"{'bid': 4670.24, 'ask': 4670.54}","{'bid': 4671.1, 'ask': 4671.4}","{'bid': 4665.48, 'ask': 4665.78}","{'bid': 4665.74, 'ask': 4666.04}"
2026-01-19 11:30:00,"{'bid': 4665.69, 'ask': 4665.99}","{'bid': 4666.95, 'ask': 4667.25}","{'bid': 4661.2, 'ask': 4661.5}","{'bid': 4661.5, 'ask': 4661.8}"
2026-01-19 11:45:00,"{'bid': 4661.49, 'ask': 4661.79}","{'bid': 4666.83, 'ask': 4667.13}","{'bid': 4661.49, 'ask': 4661.79}","{'bid': 4663.63, 'ask': 4663.93}"
2026-01-19 12:00:00,"{'bid': 4663.6, 'ask': 4663.9}","{'bid': 4666.54, 'ask': 4666.84}","{'bid': 4661.77, 'ask': 4662.07}","{'bid': 4664.25, 'ask': 4664.55}"
2026-01-19 12:15:00,"{'bid': 4664.26, 'ask': 4664.56}","{'bid': 4667.06, 'ask': 4667.36}","{'bid': 4661.68, 'ask': 4661.98}","{'bid': 4666.88, 'ask': 4667.18}"
2026-01-19 12:30:00,"{'bid': 4666.84, 'ask': 4667.14}","{'bid': 4667.49, 'ask': 4667.79}","{'bid': 4660.07, 'ask': 4660.37}","{'bid': 4664.69, 'ask': 4664.99}"
2026-01-19 12:45:00,"{'bid': 4664.74, 'ask': 4665.04}","{'bid': 4665.98, 'ask': 4666.28}","{'bid': 4659.61, 'ask': 4659.91}","{'bid': 4660.74, 'ask': 4661.04}"
